Date,Year,Month,Ideological affiliation,Group affiliation,Location: state,Location: city,# killed,# injured,Charges
1990-01-22,1990,1,9,No known affiliation,New York,Staten Island,0.0003337783711615487,0.0,Second Degree Murder
1990-01-31,1990,1,11,al-Qa’ida (AQ); al-Qa'ida (AQ); al-Qa'ida (AQ),Arizona,Tucson,0.0003337783711615487,0.0,ARS:13-1105 First degree murder
1990-02-18,1990,2,9,No known affiliation,New York,Staten Island,0.0003337783711615487,0.0,Second Degree Murder
1990-05-15,1990,5,1,Japanese Red Army,Outside U.S.,Outside U.S.,0.0,0.0,assault with intent to murder individuals on embassy grounds; attempted murder of individuals on embassy grounds; willfully and maliciously attempting to harm a U.S. embassy; willfully and maliciously attempting to murder embassy personnel with premeditation and malice; committing a violent attack against internationally protected U.S. government personnel
1990-05-17,1990,5,9,Aryan Nations (AN),Idaho,Hayden Lake,0.0,0.0,"18:371 Conspiracy to build a pipe bomb and travel in interstate commerce to kill, maim, or wound human beings; 26:5861(c) (d) (f) and (i), possession of unregistered destructive devices; 18:1952, Interstate travel in aid of racketeering; 18:924(c) (1), Carrying firearms during and in relation to a crime of violence."
1990-05-17,1990,5,9,Aryan Nations (AN),Washington,Seattle,0.0,0.0,"18:371 Conspiracy to build a pipe bomb and travel in interstate commerce to kill, maim, or wound human beings; 26:5861(c) (d) (f) and (i), possession of unregistered destructive devices; 18:1952, Interstate travel in aid of racketeering; 18:924(c) (1), Carrying firearms during and in relation to a crime of violence."
1990-05-17,1990,5,9,Aryan Nations (AN),Washington,Seattle,0.0,0.0,"18:371 Conspiracy to build a pipe bomb and travel in interstate commerce to kill, maim, or wound human beings; 26:5861(c) (d) (f) and (i), possession of unregistered destructive devices;"
1990-05-28,1990,5,7,No known affiliation,New York,Syracuse,0.0,0.0,Arson [2 counts]; Attempted arson [1 count]
1990-06-01,1990,6,7,No known affiliation,Oregon,Portland,0.0,0.0,Arson
1990-06-01,1990,6,8,Aryan Nations (AN),Idaho,Naples,0.001001335113484646,0.00016666666666666666,"18:111,111, & 1114 First Degree Murder; 18:2 & 111 Assaulting and Resisting Federal Officers; 18:371 Conspiracy to Provoke a Violent Confrontation; 26:5861(d)(f) Making Illegal Firearms; 18:924 (c)(1) Using A Firearm to Commit a Violent Crime; 18:3146(A)(1) Failure to Appear in Court; 18:3147(1) Committing an Offense While on Release"
1990-06-01,1990,6,8,No known affiliation,Idaho,Naples,0.001001335113484646,0.00016666666666666666,"18:111, 1111, & 1114 First Degree Murder; 18:2 & 111 Assaulting and Resisting Federal Officers; 18:371 Conspiracy to Provoke a Violent Confrontation; 18:3 Harboring a Fugitive"
1990-08-09,1990,8,9,No known affiliation,Texas,Houston,0.0003337783711615487,0.0,Murder
1990-08-09,1990,8,9,No known affiliation,Texas,Houston,0.0003337783711615487,0.0,Involuntary Manslaughter
1990-10-11,1990,10,9,Unspecified affiliation,California,Los Angeles,0.0003337783711615487,0.0,PC 187 Murder; PC 422.55 Hate Crime
1990-11-20,1990,11,11,al-Gama'a al-Islamiyya,New York,New York City,0.0003337783711615487,0.0003333333333333333,"second-degree murder, second-degree attempted murder, aggravated assault on a police or peace officer, second-degree assault, second-degree criminal possession of a weapon, two counts of third-degree criminal possession of a weapon, first-degree reckless endangerment and first-degree coercion"
1990-12-18,1990,12,9,No known affiliation,Mississippi,Jackson,0.0003337783711615487,0.0,first degree murder
1991-03-19,1991,3,7,No known affiliation,North Carolina,Greensboro,0.0,0.0,Malicious damage by incendiary device [2 counts]
1991-06-07,1991,6,9,Hammerskins/Hammerskin Nation,Texas,Arlington,0.0003337783711615487,0.0,Murder; Aggravated Assault
1991-06-07,1991,6,9,Hammerskins/Hammerskin Nation,Texas,Arlington,0.0003337783711615487,0.0,Murder; Engaging in Organized Criminal Activity; Conspiracy to Commit Murder*
1991-06-07,1991,6,9,Hammerskins/Hammerskin Nation,Texas,Arlington,0.0003337783711615487,0.0,Murder
1991-06-24,1991,6,9,World Church of the Creator (WCOTC),Florida,Jacksonville,0.0003337783711615487,0.0,S782.04(1)(A) FLPC First Degree Murder
1991-07-25,1991,7,8,No known affiliation,California,Multiple Cities,0.0,0.0,18:844(f) Damaging or attempting to damage a building used by the United States by means of an explosive device [3 counts]; 26:7212 Endeavoring to intimidate and impede employees of the IRS from carrying out their duties by means of threatening communication
1991-08-30,1991,8,9,Phineas Priesthood,Oklahoma,Muskogee,0.0,0.0,"Running a roadblock [3 counts]; Robbery with a firearm; Shooting with intent to kill [4 counts]; 18:2113(a) Bank Robbery [2 counts]; 18:922(g), 924(a)(2) Possession of a firearm; 18:924(c)(1) Use of a firearm during commission of a crime [2 counts]; 18:371 Conspiracy"
1991-08-30,1991,8,9,Phineas Priesthood,Oklahoma,Muskogee,0.0,0.0,"Running a roadblock; Robbery with a firearm; Shooting with intent to kill; 18:2113(a) Bank Robbery [2 counts]; 18:922(g), 924(a)(2) Possession of a firearm; 18:924(c)(1) Use of a firearm during commission of a crime [2 counts]; 18:371 Conspiracy"
1991-09-01,1991,9,9,"Dixie Knights of the Ku Klux Klan, Aryan Nations (AN)",Tennessee,Nashville,0.0,0.0,18:1621 Perjury; 18:3 Accessory after the fact
1991-09-25,1991,9,4,Front de Libération de l'Etat du Cabinda (FLEC),Outside U.S.,Outside U.S.,0.0,0.0,18:371 Conspiracy to defraud the United States; Conspiracy to commit hostage taking; 18:1203 & 2 Hostage taking; Hostage taking and aiding and abetting
1991-11-14,1991,11,6,Jamahirya Security Organization,Outside U.S.,Outside U.S.,0.09012016021361816,0.0,"18:371 Explosives (Except on Vessels) - Conspiracy to destroy a Civil Aircraft of the United States; 18:32 Aircraft Regulations; 18:32(a)(2), 34 and 2; To Destroy a Vehicle used in Foreign Commerce by means of an Explosive, To Kill Nationals of the United States Destroying a Civil Aircraft and Aiding & Abetting [2 counts]; 18:844 Explosives (Except on Vessels); 18:844(i)(2); Destroying a Vehicle Used in Foreign Commerce by means of an Explosive and Aiding & Abetting; 18:2331 and 2 maliciously and with premeditation and malice aforethought killing US nationals [188 counts];"
1991-11-14,1991,11,6,Jamahirya Security Organization,Outside U.S.,Outside U.S.,0.09012016021361816,0.0,"18:371 Explosives (Except on Vessels) - Conspiracy to destroy a Civil Aircraft of the United States; 18:32 Aircraft Regulations; 18:32(a)(2), 34 and 2; To Destroy a Vehicle used in Foreign Commerce by means of an Explosive, To Kill Nationals of the United States Destroying a Civil Aircraft and Aiding & Abetting [2 counts]; 18:844 Explosives (Except on Vessels); 18:844(i)(2); Destroying a Vehicle Used in Foreign Commerce by means of an Explosive and Aiding & Abetting; 18:2331 and 2 maliciously and with premeditation and malice aforethought killing US nationals [188 counts];"
1991-12-10,1991,12,9,Dixie Knights of the Ku Klux Klan,Tennessee,Nashville,0.0,0.0,18:924 Using a firearm in the commission of a violent felony
1991-12-10,1991,12,9,Dixie Knights of the Ku Klux Klan,Tennessee,Nashville,0.0,0.0,18:1621 Perjury; 18:3 Accessory after the fact;
1992-04-29,1992,4,6,"71 Hustlers, Eight Tray Crips",California,Los Angeles,0.0,0.00016666666666666666,attempted murder; aggravated mayhem; second degree robbery; torture; assault with a deadly weapon;
1992-04-29,1992,4,6,Eight Tray Crips,California,Los Angeles,0.0,0.00016666666666666666,*attempted murder; *mayhem; *second degree robbery; *torture; misdemeanor assault;
1992-04-29,1992,4,6,Eight Tray Crips,California,Los Angeles,0.0,0.00016666666666666666,*attempted murder; *mayhem; second degree robbery; *torture; receiving stolen property; *premeditated murder;
1992-04-29,1992,4,6,Eight Tray Crips,California,Los Angeles,0.0,0.00016666666666666666,simple mayhem; *attempted robbery [4 counts]; misdemeanor assault;
1992-04-29,1992,4,12,No known affiliation,California,Los Angeles,0.0003337783711615487,0.0,first degree murder; attempted murder; attempted robbery *attempted murder [2 counts]; *attempted robbery;
1992-09-01,1992,9,11,al-Qa'ida (AQ),New York,New York City,0.0,0.0,passport fraud;
